SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,3PM,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,PR,PA,AR,PRA,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints,Player Name,Player Height,Player Weight,True Position,Weighted_OpponentOBPM,Weighted_OpponentDBPM,Weighted_OpponentHeight,Weighted_OpponentWeight,Weighted_OpponentSpeed,Weighted_OpponentWingspan,Weighted_OpponentLength
22024,203932,22400559,"JAN 14, 2025",DEN @ DAL,W,18,2,9,0.222,0,3,0.0,4,4,1.0,2,0,2,0,1,1,0,2,8,-1,1,DEN,@,DAL,10,8,2,10,0.2968567996796921,0.7825139382905346,0.2419918382723795,0.6499603389809182,0.0469323254463905,0.0070263006542342,203932,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6:12,32.9,0.0,8.0,0.0,2.0,0.0,1.0,3.0,7.0,0.429,1.0,4.0,0.25,22400559,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,,,,0.667,0.333,0.5,0.25,0.0,0.0,0.5,0.25,0.25,0.5,0.5,0.0,0.0,0.5,0.5,98.6,102.9,104.9,105.7,-6.3,-2.9,0.0,0.0,0.0,0.1,0.0,0.054,0.0,0.222,0.372,0.253,98.09,95.64,79.7,35.0,0.026,2,4,0,2,11,9,7,18,1,2,2,3.92,1.23,4,1,5,29,0,0,18,0,2,5,0.4,0,4,0.0,0.222,0,1,0.0,0.143,0.273,0.0,0.273,0.667,0.5,0.286,0.0,0.111,0.0,0.0,0.5,0.5,0.5,0.25,0.333,0.222,Aaron Gordon,203.2,235.0,Forward,,,,,,,
22024,203932,22400540,"JAN 12, 2025",DEN @ DAL,W,18,6,7,0.857,1,2,0.5,0,0,0.0,1,5,6,2,0,1,1,0,13,23,1,DEN,@,DAL,19,15,8,21,0.2968567996796921,0.7825139382905346,0.2419918382723795,0.6499603389809182,0.0469323254463905,0.0070263006542342,203932,13.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7:25,36.7,0.0,8.0,5.0,2.0,0.0,0.0,4.0,11.0,0.364,0.0,3.0,0.0,22400540,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,,,,0.714,0.286,0.769,0.308,0.231,0.0,0.0,0.154,0.462,0.6,0.4,0.0,1.0,0.5,0.5,124.5,130.8,72.5,71.8,52.0,59.0,0.133,2.0,20.0,0.056,0.185,0.133,10.0,0.929,0.929,0.178,104.01,101.92,84.94,39.0,0.286,2,0,0,6,6,2,7,10,0,0,1,4.24,1.37,1,6,6,32,0,0,23,2,1,1,1.0,5,6,0.833,0.856,4,5,0.8,0.286,0.189,0.333,0.182,0.0,0.0,0.25,0.25,0.25,0.2,0.25,0.0,0.5,0.0,0.0,0.111,0.255,Aaron Gordon,203.2,235.0,Wing,0.0,0.0,201.90208791208792,229.50824175824175,4.2274725274725276,211.6017857142857,413.50387362637366
22024,203932,22400409,"DEC 25, 2024",DEN @ PHX,L,19,3,7,0.429,0,1,0.0,1,2,0.5,1,2,3,2,0,0,0,2,7,-1,1,DEN,@,PHX,10,9,5,12,-0.0725041953134728,0.5759095981478201,-0.8224083526249091,-0.1267557507556147,-0.985578834374262,-1.0469187974810172,203932,7.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7:44,36.6,0.0,8.0,2.0,4.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,22400409,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.857,0.143,0.857,0.0,0.0,0.0,0.143,0.0,0.857,0.0,1.0,0.0,0.0,0.0,1.0,131.0,128.9,136.9,135.1,-5.9,-6.2,0.125,0.0,20.0,0.053,0.125,0.086,0.0,0.429,0.444,0.18,93.13,94.49,78.74,38.0,0.046,0,2,0,6,7,0,5,22,1,2,2,4.02,1.36,1,4,5,27,0,0,19,2,2,5,0.4,1,2,0.5,0.428,0,0,0.0,0.158,0.194,0.0,0.059,0.167,0.2,0.143,0.167,0.158,0.182,0.0,0.0,0.0,1.0,0.286,0.286,0.143,Aaron Gordon,203.2,235.0,Wing,0.0,0.0,207.62942779291552,237.04904632152588,3.806212534059945,220.57340599455037,428.2028337874659
22024,203932,22400402,"DEC 23, 2024",DEN vs. PHX,W,23,4,7,0.571,2,3,0.667,2,2,1.0,0,2,2,1,1,0,0,3,12,9,1,DEN,vs.,PHX,14,13,3,15,-0.0725041953134728,0.5759095981478201,-0.8224083526249091,-0.1267557507556147,-0.985578834374262,-1.0469187974810172,203932,12.0,5.0,4.0,1.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:10,44.7,0.0,12.0,2.0,0.0,1.0,1.0,4.0,10.0,0.4,1.0,3.0,0.333,22400402,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.571,0.429,0.333,0.167,0.5,0.0,0.167,0.167,0.167,0.5,0.5,1.0,0.0,0.75,0.25,146.3,151.1,135.3,137.8,11.1,13.3,0.043,0.0,11.1,0.0,0.1,0.051,0.0,0.714,0.761,0.149,99.23,96.75,80.63,47.0,0.076,2,3,0,2,5,15,4,16,1,3,2,3.98,1.61,0,2,2,28,0,0,19,1,0,2,0.0,4,5,0.8,0.57,0,0,0.0,0.148,0.152,0.222,0.167,0.25,0.25,0.0,0.182,0.125,0.056,0.0,0.333,0.0,0.5,0.333,0.222,0.169,Aaron Gordon,203.2,235.0,Wing,0.0,0.0,206.90004329004327,235.517316017316,3.77051948051948,219.90887445887446,426.80891774891774
22024,203932,22400390,"DEC 22, 2024",DEN @ NOP,W,35,6,12,0.5,2,4,0.5,3,6,0.5,5,3,8,3,1,0,2,2,17,-6,1,DEN,@,NOP,25,20,11,28,-1.637891269332123,-1.1285762080295836,-1.2045007288444496,-1.4212825669831697,-0.0469323254463972,-1.3279708236504175,203932,17.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,14:35,75.1,0.0,8.0,3.0,7.0,1.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,22400390,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.667,0.333,0.471,0.0,0.353,0.0,0.176,0.176,0.471,1.0,0.0,1.0,0.0,1.0,0.0,98.2,96.2,100.3,102.5,-2.1,-6.4,0.143,1.5,15.0,0.135,0.075,0.104,10.0,0.583,0.581,0.197,106.81,106.75,88.96,78.0,0.093,3,0,0,8,20,6,19,42,1,2,3,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0.0,0.5,0,0,0.0,0.222,0.194,0.333,0.19,0.2,0.316,0.5,0.125,0.235,0.158,0.125,0.111,0.0,0.143,0.143,0.273,0.227,Aaron Gordon,203.2,235.0,Wing,0.0,0.0,200.02499999999998,204.1085164835165,4.129464285714286,212.3172664835165,412.3422664835165
22024,203932,22400371,"DEC 19, 2024",DEN @ POR,L,31,1,6,0.167,0,3,0.0,0,2,0.0,1,5,6,3,0,0,2,2,2,0,1,DEN,@,POR,8,5,9,11,-0.9753866275189862,-1.1802272930652595,-1.286377666605779,-1.5021904929973915,0.0938646508927878,-0.4848147451422164,203932,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,12:53,64.2,0.0,15.0,5.0,4.0,4.0,0.0,5.0,15.0,0.333,3.0,7.0,0.429,22400371,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,121.6,120.0,118.7,116.4,2.9,3.6,0.103,1.5,25.0,0.038,0.125,0.091,16.7,0.167,0.145,0.132,100.61,102.25,85.21,65.0,-0.003,0,0,0,2,6,17,9,28,1,2,2,3.96,2.18,1,9,10,50,1,1,40,3,1,2,0.5,0,4,0.0,0.167,2,2,1.0,0.033,0.111,0.0,0.143,0.0,0.143,0.25,0.25,0.25,0.12,0.25,0.0,0.0,0.25,0.154,0.2,0.026,Aaron Gordon,203.2,235.0,Wing,0.0,0.0,201.16628378378377,218.6216216216216,4.051875,218.1092905405405,419.2755743243243
22024,203932,22401225,"DEC 16, 2024",DEN @ SAC,W,31,9,14,0.643,1,3,0.333,5,6,0.833,4,3,7,2,0,0,1,3,24,6,1,DEN,@,SAC,31,26,9,33,0.0037131528597198,0.6533862257013375,-0.0582236001858319,0.3586918053297183,-0.0938646508927878,0.7096563660777352,203932,24.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11:05,71.0,0.0,15.0,3.0,1.0,1.0,0.0,6.0,12.0,0.5,0.0,3.0,0.0,22401225,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.786,0.214,0.667,0.0,0.125,0.083,0.208,0.083,0.667,0.5,0.5,0.0,1.0,0.444,0.556,117.9,119.2,112.8,112.5,5.1,6.7,0.083,2.0,10.0,0.118,0.088,0.103,5.0,0.679,0.721,0.212,113.15,112.65,93.88,73.0,0.125,2,4,2,16,7,8,22,32,0,3,5,4.21,2.35,4,5,9,36,0,0,18,2,1,3,0.333,8,11,0.727,0.643,2,3,0.667,0.273,0.209,0.2,0.176,0.313,0.3,0.364,0.107,0.179,0.087,0.111,0.0,0.0,0.0,0.333,0.333,0.276,Aaron Gordon,203.2,235.0,Wing,0.0,0.0,197.23683908045976,216.81752873563218,4.003635057471263,204.69659482758618,401.9334339080459
22024,203932,22401213,"DEC 13, 2024",DEN vs. LAC,W,23,4,7,0.571,1,2,0.5,5,5,1.0,0,6,6,2,0,0,1,2,14,10,1,DEN,vs.,LAC,20,16,8,22,0.3144454184888904,-0.7153675277441508,0.8970073403630154,0.0836048568813629,-0.4693232544639323,0.5691303529930349,203932,14.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9:35,48.9,0.0,18.0,6.0,2.0,2.0,0.0,7.0,12.0,0.583,3.0,6.0,0.5,22401213,1610612743,Denver,Nuggets,DEN,nuggets,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,0.714,0.286,0.429,0.0,0.214,0.214,0.357,0.214,0.429,0.667,0.333,1.0,0.0,0.75,0.25,106.2,111.5,94.0,94.1,12.3,17.4,0.125,2.0,16.7,0.0,0.261,0.14,8.3,0.643,0.761,0.177,108.54,105.79,88.16,52.0,0.168,3,2,3,6,17,1,16,20,0,2,3,4.08,1.71,1,6,7,32,0,0,22,2,2,2,1.0,2,5,0.4,0.57,0,0,0.0,0.2,0.179,0.167,0.111,0.417,0.333,0.0,0.316,0.286,0.182,0.091,0.0,0.0,0.0,0.286,0.273,0.241,Aaron Gordon,203.2,235.0,Wing,0.0,0.0,196.25964843749998,218.23046875,3.7641601562499996,207.07626953125,403.33591796875
